Number,Logic,Beta,,,,,,,
1,0.894416052,0.788385844,,,,,,,
2,0.875251615,0.489147754,,,,,,,
3,0.630840177,0.936172046,,,,,,,
11,0.773217472,0.798956039,,,,,,,
19,0.708674311,0.953,,,,,,,
27,0.711197241,0.836321155,,,,,,,
37,0.699924599,0.869749784,,,,,,,
38,0.708100019,0.893894406,,,,,,,
39,0.503911059,0.642900743,,,,,,,
40,0.63429956,0.896346544,,,,,,,
71,0.532479415,0.436180132,,,,,,,
72,0.847403072,0.991592987,,,,,,,
79,0.997756171,0.987859378,,,,,,,
89,0.939325933,0.861435427,,,,,,,
97,0.827428327,0.892293602,,,,,,,
101,0.871273706,0.992000287,,,,,,,
103,0.676684938,0.992183283,,,,,,,
110,0.725861957,0.956865353,,,,,,,
116,0.290137709,0.658663289,,,,,,,
117,0.26716445,0.686150185,,,,,,,
118,0.22214146,0.671001101,,,,,,,
128,0.848293377,0.870633118,,,,,,,
129,0.771082943,0.901511158,,,,,,,
130,0.727787235,0.873484905,,,,,,,
131,0.843459575,0.868671295,,,,,,,
132,0.657561888,0.870846162,,,,,,,
133,0.705882353,0.668715365,,,,,,,
134,0.582509967,0.796422212,,,,,,,
135,0.554035315,0.728494015,,,,,,,
136,0.492086436,0.632705123,,,,,,,
137,0.876262941,0.486095585,,,,,,,
138,0.89306429,0.746114402,,,,,,,
139,0.899614077,0.600047496,,,,,,,
140,0.750757459,0.750604825,,,,,,,
141,0.768425461,0.166969476,,,,,,,
142,0.67904012,0.032395608,,,,,,,
143,0.47217649,0.160500856,,,,,,,
144,0.61892182,0.269838976,,,,,,,
20,0.845968402,0.857,,,,,,,
28,0.96387952,0.966939574,,,,,,,
44,0.758272606,0.733940988,,,,,,,
69,0.431051109,-0.766160461,,,,,,,
70,0.691562038,0.976111773,,,,,,,
83,0.888979592,0.940956945,,,,,,,
91,0.873102069,0.818338596,,,,,,,
102,0.840569149,0.719180151,,,,,,,
106,0.992812067,0.998332524,,,,,,,
113,0.972798818,0.98334106,,,,,,,
123,0.959477168,0.931712431,,,,,,,
124,0.910803865,0.925899747,,,,,,,
125,0.93263996,0.845728895,,,,,,,
126,0.911797291,0.89260136,,,,,,,
4,0.927395109,0.978375882,,,,,,,
8,0.83622562,0.737247146,,,,,,,
10,0.872441652,0.835767336,,,,,,,
16,0.607602245,0.957552952,,,,,,,
18,0.906994595,0.60602888,,,,,,,
21,0.818598262,0.963197134,,,,,,,
29,0.964489691,0.928655249,,,,,,,
80,0.824566989,0.996974261,,,,,,,
88,0.880468815,0.939026473,,,,,,,
96,0.837177203,0.91399065,,,,,,,
99,0.688982801,0.996972568,,,,,,,
105,0.968635006,0.924460585,,,,,,,
112,0.971152036,0.984894947,,,,,,,
145,0.542323502,0.975844155,,,,,,,
146,0.654126421,0.981016981,,,,,,,
147,0.691598943,0.967137933,,,,,,,
148,0.551233817,0.976292492,,,,,,,
149,0.641986461,0.982971473,,,,,,,
150,0.524888198,0.298994122,,,,,,,
151,0.586961669,0.923507909,,,,,,,
152,0.824270811,0.955130069,,,,,,,
153,0.758041701,0.941017388,,,,,,,
154,0.621291393,0.903518307,,,,,,,
155,0.793099962,0.963409576,,,,,,,
156,0.533261803,0.304691747,,,,,,,
22,0.761714174,0.936,,,,,,,
25,0.927419878,0.993320457,,,,,,,
30,1.358360766,1.000837642,,,,,,,
41,0.789740309,0.858106644,,,,,,,
42,0.802443886,0.927006764,,,,,,,
43,0.653972315,0.907550917,,,,,,,
84,0.842072984,0.9881787,,,,,,,
90,0.861887335,0.923001803,,,,,,,
98,0.699432135,0.87565949,,,,,,,
100,0.742631295,0.898601481,,,,,,,
104,0.671417348,0.994003537,,,,,,,
111,0.998475468,0.989206455,,,,,,,
6,0.815504546,0.847400526,,,,,,,
9,0.734685696,0.530951178,,,,,,,
12,0.490672221,0.724352618,,,,,,,
15,0.751477891,0.690410652,,,,,,,
23,0.687658953,0.924269613,,,,,,,
26,0.670870055,0.91378795,,,,,,,
31,0.645673281,0.914085968,,,,,,,
46,0.249556158,0.496127692,,,,,,,
47,0.211790561,0.611383352,,,,,,,
48,0.051869076,0.661035448,,,,,,,
49,0.011960169,0.680806964,,,,,,,
50,0.063960046,0.551539173,,,,,,,
51,0.021225542,0.520264011,,,,,,,
52,0.213813216,0.617326376,,,,,,,
53,0.305262073,0.74227435,,,,,,,
54,0.02212403,0.620336981,,,,,,,
55,0.134532864,0.681582993,,,,,,,
56,0.144626486,0.388533393,,,,,,,
57,0.188712381,0.748120301,,,,,,,
58,0.433325905,0.821713558,,,,,,,
59,0.488564362,0.819581596,,,,,,,
60,0.113566021,0.618586382,,,,,,,
73,0.766747377,-0.005924591,,,,,,,
74,0.68616423,0.979518442,,,,,,,
78,0.651131824,0.861318459,,,,,,,
94,0.555300199,0.850612442,,,,,,,
115,0.940366187,0.97622906,,,,,,,
24,0.555063843,0.913,,,,,,,
45,0.68348237,0.685490494,,,,,,,
76,0.810775973,0.947528839,,,,,,,
95,0.632928207,0.782933654,,,,,,,
114,0.71770221,0.97273756,,,,,,,
17,0.619014009,0.15744935,,,,,,,
33,0.921905717,0.866922878,,,,,,,
35,0.916078523,0.882092199,,,,,,,
61,0.587799048,0.769922104,,,,,,,
62,0.640811136,0.9933802,,,,,,,
63,0.583001087,0.445209487,,,,,,,
64,0.747515717,1.352969564,,,,,,,
81,0.890821942,0.969831865,,,,,,,
85,0.912169504,0.843321005,,,,,,,
92,0.961692587,0.840332756,,,,,,,
109,0.978093797,0.850828667,,,,,,,
5,0.908019196,0.936616693,,,,,,,
7,0.532132921,0.786037755,,,,,,,
13,0.811440756,0.762427958,,,,,,,
34,0.778568864,0.979108418,,,,,,,
36,0.485100951,0.731530361,,,,,,,
65,0.416998913,0.725516477,,,,,,,
66,0.703003438,0.96419745,,,,,,,
67,0.594435666,0.057031527,,,,,,,
68,0.868345649,0.989941861,,,,,,,
77,0.775161503,0.99572514,,,,,,,
82,0.930538741,0.983931608,,,,,,,
86,0.918032787,0.985935911,,,,,,,
93,0.804968232,0.855533492,,,,,,,
107,0.865937579,0.998181314,,,,,,,
108,0.655885106,0.978905256,,,,,,,